1777209017.8462222,.0003	-0.0003	0.0001	-0.0003	0.0002
1777209017.8465438,-0.0003	0.0019	0.0007	0.0004	-0.0003	0.0001	-0.0002	0.0002
1777209017.846693,-0.0003	0.0018	0.0007	0.0003	-0.0003	0.0002	-0.0002	0.0003
1777209017.846829,-0.0003	0.0019	0.0008	0.0006	-0.0003	0.0002	-0.0002	0.0003
1777209017.847064,-0.0003	0.0018	0.0012	0.0010	-0.0001	0.0004	-0.0001	0.0005
1777209017.847302,-0.0003	0.0018	0.0012	0.0012	-0.0001	0.0005	-0.0001	0.0005
1777209017.847454,-0.0003	0.0016	0.0013	0.0015	-0.0001	0.0006	-0.0000	0.0006
1777209017.847593,-0.0003	0.0013	0.0012	0.0015	-0.0001	0.0005	-0.0000	0.0006
1777209017.84773,-0.0003	0.0007	0.0009	0.0013	-0.0001	0.0004	-0.0001	0.0005
1777209017.847876,-0.0003	0.0005	0.0006	0.0012	-0.0002	0.0004	-0.0001	0.0005
1777209017.84801,-0.0003	0.0002	0.0004	0.0010	-0.0002	0.0004	-0.0001	0.0005
1777209017.8481522,-0.0003	0.0002	0.0004	0.0010	-0.0002	0.0004	-0.0001	0.0006
1777209017.848282,-0.0003	0.0000	0.0005	0.0012	-0.0001	0.0006	-0.0000	0.0007
1777209017.848417,-0.0003	-0.0001	0.0004	0.0013	-0.0001	0.0007	-0.0000	0.0005
1777209017.848547,-0.0003	-0.0004	-0.0002	0.0011	0.0000	0.0008	0.0000	0.0006
1777209017.848682,-0.0003	-0.0006	-0.0005	0.0010	-0.0000	0.0008	0.0000	0.0005
1777209017.848811,-0.0003	-0.0009	-0.0014	0.0005	-0.0002	0.0006	0.0000	0.0004
1777209017.8489442,-0.0003	-0.0010	-0.0018	0.0003	-0.0001	0.0005	0.0000	0.0004
1777209017.84908,-0.0004	-0.0012	-0.0024	0.0000	-0.0002	0.0005	0.0001	0.0004
1777209017.849206,-0.0004	-0.0014	-0.0026	-0.0001	-0.0002	0.0005	0.0000	0.0004
1777209017.849341,-0.0004	-0.0016	-0.0030	-0.0001	-0.0001	0.0008	0.0001	0.0005
1777209017.849469,-0.0003	-0.0020	-0.0034	-0.0000	-0.0000	0.0010	0.0002	0.0007
1777209017.8496041,-0.0003	-0.0020	-0.0036	-0.0000	-0.0001	0.0011	0.0002	0.0007
1777209017.849738,-0.0003	-0.0016	-0.0040	0.0001	-0.0001	0.0012	0.0003	0.0007
1777209017.849876,-0.0003	-0.0017	-0.0048	0.0004	0.0000	0.0011	0.0004	0.0008
1777209017.850007,-0.0003	-0.0019	-0.0041	0.0006	0.0002	0.0012	0.0004	0.0008
1777209017.850144,-0.0003	-0.0019	-0.0037	0.0007	0.0003	0.0012	0.0005	0.0008
1777209017.850276,-0.0003	-0.0021	-0.0033	0.0001	0.0003	0.0012	0.0004	0.0007
1777209017.850415,-0.0003	-0.0021	-0.0034	-0.0006	0.0001	0.0010	0.0004	0.0007
